beta,gamma
0.47919192,0.12045737
0.45474966,0.10917656
0.48785929,0.13603424
0.39076855,0.14662174
0.31682763,0.08018249
0.50825164,0.13100004
0.38880737,0.09705487
0.37305712,0.09145198
0.46049417,0.12226078
0.33403156,0.08941691
0.45482723,0.15709167
0.45355114,0.14377563
0.40317567,0.10424929
0.43690858,0.14429935
0.33970156,0.10167857
0.39824769,0.12692417
0.50373542,0.12284598
0.41302600,0.13803946
0.34420243,0.08375589
0.30066533,0.08440464
0.26977843,0.07304468
0.42853774,0.09352433
0.45526951,0.15999950
0.39914277,0.11927580
0.48068107,0.12854575
0.50076269,0.13151056
0.39211792,0.10702927
0.39706818,0.10770150
0.34962801,0.07789876
0.39231238,0.09148208
0.54907942,0.14834377
0.55074296,0.15893996
0.44584183,0.10828449
0.40806838,0.08802419
0.46585603,0.11754839
0.39057325,0.08097396
0.36305576,0.10714444
0.47261904,0.15177402
0.37235399,0.10453092
0.53031699,0.15114330
0.46068938,0.13708879
0.33814929,0.07943059
0.50497450,0.11473082
0.41721013,0.09463585
0.53505161,0.13547163
0.54974313,0.14688352
0.48976093,0.11618639
0.48480374,0.16644769
0.41732355,0.10563454
0.44298296,0.12313316
0.37128625,0.08027879
0.46574994,0.15033795
0.49703301,0.14148988
0.54282494,0.12363666
0.36325827,0.09615852
0.32939066,0.08836307
0.35090765,0.09726513
0.39441044,0.11154671
0.40996032,0.11311760
0.32039909,0.10216634
0.43113063,0.10071834
0.38118806,0.11375138
0.48987678,0.14449756
0.35606663,0.08903470
0.52185963,0.14889156
0.46215795,0.10101498
0.33324810,0.11138580
0.48326651,0.11539757
0.46983873,0.10425849
0.38200198,0.11190769
0.48088976,0.15569557
0.38646253,0.11414057
0.42705933,0.07696212
0.33366159,0.11754133
0.40934750,0.09770615
0.43096524,0.14763597
0.34403267,0.06896842
0.38299656,0.09874922
0.47919318,0.16122099
0.48551786,0.15706115
0.42885518,0.12643910
0.39816638,0.08881563
0.35528801,0.10012126
0.53552515,0.16819105
0.32142040,0.06308977
0.44689335,0.11349627
0.52670776,0.17977804
0.44776405,0.13483723
0.35128644,0.11752696
0.48804883,0.14521084
0.42499209,0.09850733
0.38618615,0.12612410
0.41304415,0.09156846
0.49209251,0.15905506
0.37224682,0.13175279
0.38313120,0.10013384
0.48911978,0.13435995
0.39586682,0.10315739
0.40783660,0.14346846
0.36287831,0.08865623
0.40469853,0.12298372
0.35611451,0.10614795
0.50670869,0.14777974
0.34259653,0.10679265
0.38076087,0.08953738
0.48414219,0.10355936
0.47455255,0.14046386
0.44872678,0.13708732
0.35856934,0.06736024
0.45846543,0.15281843
0.30996045,0.09795472
0.38857539,0.09976549
0.52961018,0.16631444
0.47322053,0.14174171
0.38177775,0.12802115
0.46693924,0.12229595
0.44275916,0.11978960
